antecedents,consequents,support,confidence,lift
 'animation', 'action',0.014295556321047193,0.2832764505119454,3.231243755741365
 'action', 'animation',0.014295556321047193,0.16306483300589392,3.231243755741365
 'comedy', 'action',0.013778849466069583,0.14285714285714285,1.6295256806062304
 'action', 'comedy',0.013778849466069583,0.15717092337917485,1.6295256806062306
 'crime', 'action',0.015328970031002411,0.23670212765957446,2.6999853697278766
 'action', 'crime',0.015328970031002411,0.17485265225933203,2.699985369727877
 'action', 'crime'],0.010850843954529796,0.12377210216110018,2.753336494817424
 'crime'], 'action',0.010850843954529796,0.24137931034482757,2.753336494817424
 'drama', 'action',0.023768515328970032,0.17206982543640897,1.9627453958424173
 'action', 'drama',0.023768515328970032,0.27111984282907664,1.9627453958424175
 'drama'], 'action',0.01584567688598002,0.13793103448275862,1.573335139895671
 'action', 'drama'],0.01584567688598002,0.18074656188605107,1.5733351398956708
 'european'], 'action',0.010506372717878057,0.13800904977375564,1.5742250353367881
 'action', 'european'],0.010506372717878057,0.11984282907662082,1.5742250353367884
 'fantasy', 'action',0.01584567688598002,0.2746268656716418,3.1325807113743656
 'action', 'fantasy',0.01584567688598002,0.18074656188605107,3.1325807113743656
 'action', 'thriller',0.018256975542542197,0.20825147347740666,2.792397355680885
 'thriller', 'action',0.018256975542542197,0.2448036951501155,2.792397355680885
['drama', 'action',0.01670685497760937,0.08964879852125693,1.0225951359811742
 'action',['drama',0.01670685497760937,0.19056974459724949,1.0225951359811742
['scifi', 'action',0.01877368239751981,0.40073529411764713,4.5710591702299785
 'action',['scifi',0.01877368239751981,0.21414538310412573,4.5710591702299785
['thriller', 'action',0.01774026868756459,0.2562189054726368,2.9226070042713737
 'action',['thriller',0.01774026868756459,0.20235756385068762,2.9226070042713737
 'action'], 'drama',0.011195315191181537,0.25793650793650796,1.8673059414954678
 'drama', 'action'],0.011195315191181537,0.08104738154613467,1.8673059414954678
 'action'],['drama',0.010334137099552188,0.2380952380952381,1.2776164070064255
['drama', 'action'],0.010334137099552188,0.05545286506469502,1.2776164070064258
 'comedy', 'animation',0.015673441267654152,0.1625,3.220051194539249
 'animation', 'comedy',0.015673441267654152,0.310580204778157,3.2200511945392494
 'drama', 'animation',0.014467791939373063,0.10473815461346633,2.075459814627254
 'animation', 'drama',0.014467791939373063,0.28668941979522183,2.075459814627254
 'family', 'animation',0.015673441267654152,0.2888888888888889,5.724535456958665
 'animation', 'family',0.015673441267654152,0.310580204778157,5.724535456958665
 'fantasy', 'animation',0.01739579745091285,0.30149253731343284,5.974285568743314
 'animation', 'fantasy',0.01739579745091285,0.3447098976109215,5.974285568743315
